Drug_Name,SMILES,Interacts_with_Receptor,Notes,Molecular_Weight,LogP,H_Bond_Donors,Is_Heavy_Molecule
Tox21_TOX26525,COc1cc(O)cc(O)c1,0.0,,140.13799999999998,1.1063999999999998,2,False
Tox21_TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12,0.0,,253.279,1.8801999999999999,1,False
Tox21_TOX26523,O=C(O)[C@H](O)c1ccccc1,0.0,,152.149,0.8046,2,False
Tox21_TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1,0.0,,197.24100000000004,3.6842000000000015,1,False
Tox21_TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.0,,292.209,4.789500000000003,1,False
Tox21_TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0.0,,314.21200000000005,3.775400000000003,0,False
Tox21_TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.0,,314.86,4.528400000000004,0,False
Tox21_TOX1883,C#CCO,0.0,,56.064,-0.3881,1,False
Tox21_TOX4463,Nc1ccccc1S(=O)(=O)O,0.0,,173.19299999999998,0.5155000000000001,2,False
Tox21_TOX1885,CC(O)CC(C)(C)O,0.0,,118.17599999999999,0.5282,2,False
Tox21_TOX1886,CC(C)(C)CC(C)(C)N,0.0,,129.24699999999999,2.1599000000000004,1,False
Tox21_TOX1889,CC(=O)CC(C)C,0.0,,100.16099999999999,1.6215,0,False
Tox21_TOX1888,CCCC(C)=O,0.0,,86.13399999999999,1.3755,0,False
Tox21_TOX4465,Nc1nc2ccccc2[nH]1,0.0,,133.15399999999997,1.1451,2,False
Tox21_TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,,266.33799999999997,4.6592,1,False
Tox21_TOX161,c1ccc(-c2ccccc2)cc1,0.0,,154.21199999999996,3.353600000000001,0,False
Tox21_TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,0.0,,219.07099999999997,2.7447,2,False
Tox21_TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,0.0,,183.63799999999998,2.606820000000001,1,False
Tox21_TOX22187,CCCCNC(=S)NCCCC,0.0,,188.33999999999995,2.0507,2,False
Tox21_TOX22188,CCCCNC(=O)NCCCC,0.0,,172.27199999999993,1.8858,2,False
Tox21_TOX22189,CC(C)N(c1ccccc1)C(C)C,0.0,,177.29099999999997,3.309800000000002,0,False
Tox21_TOX7876,CCc1cccc(C)c1,0.0,,120.19499999999996,2.5574200000000005,0,False
Tox21_TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0.0,,438.6330000000002,9.3187,0,False
Tox21_TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0,,356.547,4.920300000000006,2,False
Tox21_TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,0.0,,266.381,4.163100000000004,0,False
Tox21_TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.0,,502.9200000000002,7.395680000000005,1,True
Tox21_TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.0,,438.76700000000005,3.748700000000002,1,False
Tox21_TOX4113,CCOP(=S)(CC)Sc1ccccc1,0.0,,246.33700000000005,4.144600000000003,0,False
Tox21_TOX27698,CC/C=C\CCCCO,0.0,,128.215,2.1152,1,False
Tox21_TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.0,,324.4240000000001,3.1732000000000014,1,False
Tox21_TOX10138,CC(=O)CCC(C)=O,0.0,,114.14399999999999,0.9446,0,False
Tox21_TOX21464,N#CCCNCCC#N,0.0,,123.15899999999999,0.40336,1,False
Tox21_TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,0.0,,634.6920000000003,7.293400000000009,0,True
Tox21_TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0.0,,431.4030000000002,1.2058,0,False
Tox21_TOX21726,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,0.0,,629.6320000000002,6.436700000000006,2,True
Tox21_TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0.0,,356.56,4.4043000000000045,0,False
Tox21_TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0.0,,318.339,3.201500000000001,1,False
Tox21_TOX27071,Cc1ccccc1CCO,0.0,,136.19400000000002,1.52982,1,False
Tox21_TOX27070,Cc1nc(C)c(C)nc1C,0.0,,136.19799999999998,1.7102799999999998,0,False
Tox21_TOX27072,CC1=CC(O)CC(C)(C)C1,0.0,,140.226,2.1136,1,False
Tox21_TOX27075,Cc1cnc(C)c(C)n1,0.0,,122.17099999999999,1.4018599999999999,0,False
Tox21_TOX27074,CC(C)COC(=O)c1ccccc1,0.0,,178.231,2.4994000000000005,0,False
Tox21_TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,0.0,,136.23799999999997,3.308900000000002,0,False
Tox21_TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0.0,,164.086,-0.8590000000000002,0,False
Tox21_TOX957,Nc1ccc(N)c([N+](=O)[O-])c1,0.0,,153.14100000000002,0.7592000000000001,2,False
Tox21_TOX24915,CC1COc2ccccc2N1,0.0,,149.19299999999998,1.8793999999999997,1,False
Tox21_TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,0.0,,207.012,2.3972,2,False
Tox21_TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,0.0,,284.488,3.9752000000000027,1,False
Tox21_TOX24911,CC(C)CCCCCOC(=O)CCS,0.0,,218.362,3.0659000000000023,1,False
Tox21_TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0.0,,263.037,-1.1386000000000003,3,False
Tox21_TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0,,398.5680000000001,1.9720999999999997,3,False
Tox21_TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,0.0,,370.86600000000004,4.538900000000002,0,False
Tox21_TOX9739,F[B-](F)(F)F.[H+],0.0,,87.81200000000001,1.4125,0,False
Tox21_TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0.0,,156.269,2.439500000000001,1,False
Tox21_TOX6050,C(=C/c1ccccc1)\c1ccccc1,0.0,,180.24999999999997,3.857000000000003,0,False
Tox21_TOX5649,Cc1ccc2c(ccc3ccccc32)c1,0.0,,192.261,4.301420000000003,0,False
Tox21_TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,0.0,,266.25699999999995,-1.1933999999999994,0,False
Tox21_TOX2967,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,0.0,,246.19400000000002,-1.6851999999999996,3,False
Tox21_TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0.0,,267.328,2.8499000000000025,2,False
Tox21_TOX2617,COC(=O)C1=CCCN(C)C1,0.0,,155.197,0.4213,0,False
Tox21_TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],0.0,,181.147,1.60142,1,False
Tox21_TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0.0,,181.14699999999996,1.60142,1,False
Tox21_TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,0.0,,282.448,3.5158000000000023,0,False
Tox21_TOX27158,CCCCCC(C)O,0.0,,116.20399999999998,1.9475000000000002,1,False
Tox21_TOX1708,O=C([O-])c1ccccc1O,0.0,,137.11399999999998,-0.24430000000000013,1,False
Tox21_TOX1709,NC(=O)c1ccccc1,0.0,,121.13899999999995,0.7855000000000001,1,False
Tox21_TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,0.0,,361.52900000000017,4.844800000000005,1,False
Tox21_TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,0.0,,278.221,-3.6124999999999985,5,False
Tox21_TOX25752,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,0.0,,363.50500000000017,3.308500000000002,1,False
Tox21_TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0.0,,266.34099999999995,0.45210000000000006,3,False
Tox21_TOX25750,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,,401.5010000000001,4.224000000000004,1,False
Tox21_TOX958,Nc1ccc([N+](=O)[O-])cc1N,0.0,,153.141,0.7592000000000001,2,False
Tox21_TOX14836,[I-].[K+],0.0,,166.002,-5.992,0,False
Tox21_TOX4786,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0.0,,354.31100000000004,-0.6459000000000001,6,False
Tox21_TOX18317,Oc1nc(Cl)c(Cl)cc1Cl,0.0,,198.436,2.7474,1,False
Tox21_TOX5391,C/C=C/C=C/C=O,0.0,,96.12899999999999,1.3176,0,False
Tox21_TOX4781,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,1.0,,270.54999999999995,3.1752000000000002,0,False
Tox21_TOX5395,C[Si](C)(C)N[Si](C)(C)C,0.0,,161.397,2.2458,1,False
Tox21_TOX4783,C=CC(=O)OCCCl,0.0,,134.562,0.9543999999999999,0,False
Tox21_TOX12376,COCC(C)N(C(=O)CCl)c1c(C)csc1C,0.0,,275.80100000000004,2.9716400000000016,0,False
Tox21_TOX25538,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,0.0,,525.6420000000002,-0.653199999999996,3,True
Tox21_TOX12375,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],0.0,,333.27400000000006,1.2690000000000001,2,False
Tox21_TOX12372,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0.0,,406.2690000000001,4.665500000000003,0,False
Tox21_TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0.0,,383.5320000000002,4.452600000000004,0,False
Tox21_TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0,,324.44900000000007,0.612,2,False
Tox21_TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0,,383.5170000000001,0.08690000000000164,2,False
Tox21_TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.0,,339.4830000000001,3.361900000000002,1,False
Tox21_TOX25537,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,0.0,,326.44,1.5545,2,False
Tox21_TOX25534,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.0,,434.50400000000025,2.2747000000000006,2,False
Tox21_TOX12379,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,0.0,,401.42200000000014,5.242900000000003,0,False
Tox21_TOX28632,O=C(O)/C=C(\CC(=O)O)C(=O)O,0.0,,174.108,-0.44329999999999964,3,False
Tox21_TOX28633,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,0.0,,1045.7159999999988,22.611800000000017,0,True
Tox21_TOX14792,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,0.0,,267.306,1.3016,1,False
Tox21_TOX24394,CC(C)(C)C1CCC(=O)CC1,0.0,,154.25299999999996,2.791800000000001,0,False
Tox21_TOX3568,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,0.0,,527.5740000000002,0.46980000000000227,6,True
Tox21_TOX28634,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,0.0,,270.76300000000003,3.627200000000003,0,False
Tox21_TOX3565,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.0,,269.35200000000003,1.9118000000000002,1,False
Tox21_TOX28635,CCCCC(=O)[O-],0.0,,101.12499999999999,-0.07350000000000012,0,False
Tox21_TOX7019,CCCCCCCCCCCCCC(=O)OC,0.0,,242.40299999999993,4.8605000000000045,0,False
Tox21_TOX7014,CCCCCCC(C)O,0.0,,130.231,2.3376000000000006,1,False
Tox21_TOX22494,CCC[Si](OC)(OC)OC,0.0,,164.27699999999996,1.2745,0,False
Tox21_TOX27088,CC1=C(CC=O)C(C)(C)CCC1,0.0,,166.26399999999995,3.102000000000002,0,False
Tox21_TOX3702,NCCNCCNCCN,0.0,,146.238,-1.916999999999998,4,False
Tox21_TOX3706,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,1.0,,329.44000000000005,3.466880000000002,2,False
Tox21_TOX4280,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0.0,,342.2260000000001,3.653400000000003,0,False
Tox21_TOX4930,Cc1ccc(N)c(N)c1,0.0,,122.17100000000002,1.1594200000000001,2,False
Tox21_TOX4931,CCCCCNCCCCC,0.0,,157.301,2.9564000000000012,1,False
Tox21_TOX4284,COCC(C)O,0.0,,90.122,0.013600000000000112,1,False
Tox21_TOX4937,c1ccc2c(c1)Oc1ccccc1S2,0.0,,200.262,3.943500000000001,0,False
Tox21_TOX4286,CC1CN1,0.0,,57.096,-0.021899999999999975,1,False
Tox21_TOX4287,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0.0,,289.335,1.6333000000000002,2,False
Tox21_TOX25447,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,0.0,,416.1350000000001,6.454800000000002,0,False
Tox21_TOX175,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0.0,,402.0640000000001,6.674800000000002,0,False
Tox21_TOX25916,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.0,,406.482,3.738000000000002,3,False
Tox21_TOX173,ClCOCCl,0.0,,114.959,1.3956,0,False
Tox21_TOX179,CC(O)CNCC(C)O,0.0,,133.191,-0.6623999999999999,3,False
Tox21_TOX13979,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,0.0,,407.5710000000002,2.1140000000000003,3,False
Tox21_TOX17262,CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.0,,341.4950000000001,4.264980000000004,1,False
Tox21_TOX25007,O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,0.0,,247.03799999999998,-0.8442000000000001,2,False
Tox21_TOX5886,CCOC(=O)C1OC1c1ccccc1,0.0,,192.214,1.6895999999999998,0,False
Tox21_TOX5889,ONc1ccccc1,0.0,,109.12799999999997,1.4876999999999998,2,False
Tox21_TOX5888,O=CC(=O)c1ccccc1,0.0,,134.134,1.0682,0,False
Tox21_TOX21803,[Cu]I,0.0,,190.45,0.8832000000000001,0,False
Tox21_TOX21530,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0.0,,293.44900000000007,3.874500000000003,0,False
Tox21_TOX25005,ClCc1ccc(Cl)cc1Cl,0.0,,195.476,3.7322000000000015,0,False
Tox21_TOX6867,O=C(O)CCCCCCCCC(=O)O,0.0,,202.24999999999997,2.2763999999999998,2,False
Tox21_TOX6864,CCCCCCCC(=O)OC,0.0,,158.24099999999999,2.5199000000000007,0,False
Tox21_TOX6863,CC(O)COCC(C)O,0.0,,134.175,-0.2354,2,False
Tox21_TOX26644,O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12,0.0,,281.29100000000005,1.2132999999999994,0,False
Tox21_TOX2107,Cc1ncc[nH]1,0.0,,82.106,0.7181199999999999,1,False
Tox21_TOX27268,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,0.0,,332.3650000000001,2.0915999999999997,1,False
Tox21_TOX27264,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,0.0,,359.3970000000001,2.309300000000001,3,False
Tox21_TOX27265,O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,0.0,,466.48700000000014,2.901600000000001,3,False
Tox21_TOX27266,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,0.0,,410.42300000000023,1.9508999999999999,3,False
Tox21_TOX27267,Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1,0.0,,343.4350000000001,1.4353399999999998,1,False
Tox21_TOX27261,CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,0.0,,265.334,2.734800000000001,1,False
Tox21_TOX27262,Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,0.0,,483.67400000000026,6.203220000000006,3,False
Tox21_TOX27263,CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2,0.0,,284.31899999999996,1.7812199999999998,2,False
Tox21_TOX26647,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],1.0,,440.42900000000026,0.6345999999999994,2,False
Tox21_TOX3721,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,0.0,,813.9790000000002,3.620900000000008,0,True
Tox21_TOX22379,CO[Si](C)(C)OC,0.0,,120.22399999999999,0.9809999999999999,0,False
Tox21_TOX20283,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0,,267.155,4.249200000000002,1,False
Tox21_TOX20287,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,0.0,,290.75,4.225800000000003,1,False
Tox21_TOX20285,CC(=O)c1ccccc1O,0.0,,136.14999999999998,1.5948,1,False
Tox21_TOX20284,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,0.0,,239.485,3.273900000000001,1,False
Tox21_TOX20289,O=C(O)c1cccc(Cl)n1,0.0,,157.55599999999998,1.4332,1,False
Tox21_TOX1553,CCCCCCCCCC=O,0.0,,156.269,3.3260000000000023,0,False
Tox21_TOX4704,Cc1ccc(C(C)(C)C)cc1,0.0,,148.24900000000002,3.2925200000000014,0,False
Tox21_TOX1557,BrCBr,0.0,,173.83499999999998,1.7337,0,False
Tox21_TOX10307,Nc1cc(Cl)cc(Cl)c1,0.0,,162.019,2.5756000000000006,1,False
Tox21_TOX1554,CCCCCCCCCC(=O)O,0.0,,172.268,3.2117000000000013,1,False
Tox21_TOX1559,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,0.0,,251.32599999999996,3.8954000000000035,1,False
Tox21_TOX27484,O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],0.0,,256.40299999999996,-5.807199999999997,0,False
Tox21_TOX27487,CCCCCCCCCOS(=O)(=O)[O-],0.0,,223.314,2.2138,0,False
Tox21_TOX7249,O=Cc1ccc(C(=O)O)cc1,0.0,,150.13299999999998,1.1973,1,False
Tox21_TOX7244,CCC(Cl)CCl,0.0,,127.014,2.2426000000000004,0,False
Tox21_TOX7247,CC(C)(O)c1ccccc1,0.0,,136.194,1.914,1,False
Tox21_TOX7246,O=C1CCCN1,0.0,,85.10600000000001,-0.10360000000000008,1,False
Tox21_TOX7241,ClCc1ccccc1Cl,0.0,,161.03099999999995,3.078800000000001,0,False
Tox21_TOX7240,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,0.0,,182.135,1.8114199999999998,0,False
Tox21_TOX24613,N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,0.0,,244.34199999999987,3.891560000000003,0,False
Tox21_TOX24615,C=CC(=O)OCCOC(=O)C=C,0.0,,170.164,0.44479999999999986,0,False
Tox21_TOX24616,CCCC[P+](CCCC)(CCCC)CCCC,0.0,,259.43799999999993,6.204400000000007,0,False
Tox21_TOX24617,N#CCc1cccc(C(F)(F)F)c1,0.0,,185.14799999999994,2.7714800000000013,0,False
Tox21_TOX24618,COc1cccc(Br)c1,0.0,,187.036,2.457700000000001,0,False
Tox21_TOX24619,CCCCCCCCNC,0.0,,143.274,2.566300000000001,1,False
Tox21_TOX21884,CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1,0.0,,300.35400000000004,4.009200000000003,0,False
Tox21_TOX3951,CC1=C(C(=O)Nc2ccccc2)SCCO1,0.0,,235.30799999999996,2.620000000000001,1,False
Tox21_TOX3950,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,0.0,,380.55400000000014,5.296100000000005,0,False
Tox21_TOX21880,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,0.0,,240.263,0.78162,0,False
Tox21_TOX26235,Cc1ccc2c(Br)cc(Br)c(O)c2n1,0.0,,316.98,3.773820000000001,1,False
Tox21_TOX768,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.0,,286.23900000000003,2.2824000000000004,4,False
Tox21_TOX7312,CC(O)COc1ccccc1,0.0,,152.19299999999998,1.4462,1,False
Tox21_TOX760,O=P1(NCCCl)OCCCN1CCCl,0.0,,261.08899999999994,1.884,1,False
Tox21_TOX762,CC(C)O,0.0,,60.096000000000004,0.38710000000000006,1,False
Tox21_TOX764,CC(C)OC(=O)Nc1cccc(Cl)c1,0.0,,213.66400000000002,3.2969000000000017,1,False
Tox21_TOX766,CC(C)OC(=O)Nc1ccccc1,0.0,,179.21900000000002,2.6435000000000013,1,False
Tox21_TOX767,CC=Cc1ccc2c(c1)OCO2,0.0,,162.18799999999996,2.4484000000000004,0,False
