Drug_Name,SMILES,Interacts_with_Receptor
Tox21_TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.0
Tox21_TOX1883,C#CCO,0.0
Tox21_TOX4463,Nc1ccccc1S(=O)(=O)O,0.0
Tox21_TOX1885,CC(O)CC(C)(C)O,0.0
Tox21_TOX1886,CC(C)(C)CC(C)(C)N,0.0
Tox21_TOX1889,CC(=O)CC(C)C,0.0
Tox21_TOX1888,CCCC(C)=O,0.0
Tox21_TOX4465,Nc1nc2ccccc2[nH]1,0.0
Tox21_TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0
Tox21_TOX161,c1ccc(-c2ccccc2)cc1,0.0
Tox21_TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,0.0
Tox21_TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,0.0
Tox21_TOX22187,CCCCNC(=S)NCCCC,0.0
Tox21_TOX22188,CCCCNC(=O)NCCCC,0.0
Tox21_TOX22189,CC(C)N(c1ccccc1)C(C)C,0.0
Tox21_TOX7876,CCc1cccc(C)c1,0.0
Tox21_TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0.0
Tox21_TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0
Tox21_TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,0.0
Tox21_TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.0
Tox21_TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.0
Tox21_TOX4113,CCOP(=S)(CC)Sc1ccccc1,0.0
Tox21_TOX27698,CC/C=C\CCCCO,0.0
Tox21_TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.0
Tox21_TOX10138,CC(=O)CCC(C)=O,0.0
Tox21_TOX21464,N#CCCNCCC#N,0.0
Tox21_TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,0.0
Tox21_TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0.0
Tox21_TOX21726,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,0.0
Tox21_TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0.0
Tox21_TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0.0
Tox21_TOX27071,Cc1ccccc1CCO,0.0
Tox21_TOX27070,Cc1nc(C)c(C)nc1C,0.0
Tox21_TOX27072,CC1=CC(O)CC(C)(C)C1,0.0
Tox21_TOX27075,Cc1cnc(C)c(C)n1,0.0
Tox21_TOX27074,CC(C)COC(=O)c1ccccc1,0.0
Tox21_TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,0.0
Tox21_TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0.0
Tox21_TOX957,Nc1ccc(N)c([N+](=O)[O-])c1,0.0
Tox21_TOX24915,CC1COc2ccccc2N1,0.0
Tox21_TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,0.0
Tox21_TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,0.0
Tox21_TOX24911,CC(C)CCCCCOC(=O)CCS,0.0
Tox21_TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0.0
Tox21_TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0
Tox21_TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,0.0
Tox21_TOX9739,F[B-](F)(F)F.[H+],0.0
Tox21_TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0.0
Tox21_TOX6050,C(=C/c1ccccc1)\c1ccccc1,0.0
Tox21_TOX5649,Cc1ccc2c(ccc3ccccc32)c1,0.0
Tox21_TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,0.0
Tox21_TOX2967,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,0.0
Tox21_TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0.0
Tox21_TOX2617,COC(=O)C1=CCCN(C)C1,0.0
Tox21_TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],0.0
Tox21_TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0.0
Tox21_TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,0.0
Tox21_TOX27158,CCCCCC(C)O,0.0
Tox21_TOX1708,O=C([O-])c1ccccc1O,0.0
Tox21_TOX1709,NC(=O)c1ccccc1,0.0
Tox21_TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,0.0
Tox21_TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,0.0
Tox21_TOX25752,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,0.0
Tox21_TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0.0
Tox21_TOX25750,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0
Tox21_TOX958,Nc1ccc([N+](=O)[O-])cc1N,0.0
Tox21_TOX14836,[I-].[K+],0.0
Tox21_TOX4786,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0.0
Tox21_TOX18317,Oc1nc(Cl)c(Cl)cc1Cl,0.0
Tox21_TOX5391,C/C=C/C=C/C=O,0.0
Tox21_TOX4781,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,1.0
Tox21_TOX5395,C[Si](C)(C)N[Si](C)(C)C,0.0
Tox21_TOX4783,C=CC(=O)OCCCl,0.0
Tox21_TOX12376,COCC(C)N(C(=O)CCl)c1c(C)csc1C,0.0
Tox21_TOX25538,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,0.0
Tox21_TOX12375,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],0.0
Tox21_TOX12372,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0.0
Tox21_TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0.0
Tox21_TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0
Tox21_TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0
Tox21_TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.0
Tox21_TOX25537,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,0.0
Tox21_TOX25534,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.0
Tox21_TOX12379,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,0.0
Tox21_TOX28632,O=C(O)/C=C(\CC(=O)O)C(=O)O,0.0
Tox21_TOX28633,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,0.0
Tox21_TOX14792,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,0.0
Tox21_TOX24394,CC(C)(C)C1CCC(=O)CC1,0.0
Tox21_TOX3568,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,0.0
Tox21_TOX28634,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,0.0
Tox21_TOX3565,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.0
Tox21_TOX28635,CCCCC(=O)[O-],0.0
Tox21_TOX7019,CCCCCCCCCCCCCC(=O)OC,0.0
Tox21_TOX7014,CCCCCCC(C)O,0.0
Tox21_TOX22494,CCC[Si](OC)(OC)OC,0.0
Tox21_TOX27088,CC1=C(CC=O)C(C)(C)CCC1,0.0
Tox21_TOX3702,NCCNCCNCCN,0.0
Tox21_TOX3706,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,1.0
Tox21_TOX4280,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0.0
Tox21_TOX4930,Cc1ccc(N)c(N)c1,0.0
Tox21_TOX4931,CCCCCNCCCCC,0.0
Tox21_TOX4284,COCC(C)O,0.0
Tox21_TOX4937,c1ccc2c(c1)Oc1ccccc1S2,0.0
Tox21_TOX4286,CC1CN1,0.0
Tox21_TOX4287,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0.0
Tox21_TOX25447,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,0.0
Tox21_TOX175,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0.0
Tox21_TOX25916,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.0
Tox21_TOX173,ClCOCCl,0.0
Tox21_TOX179,CC(O)CNCC(C)O,0.0
Tox21_TOX13979,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,0.0
Tox21_TOX17262,CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.0
Tox21_TOX25007,O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,0.0
Tox21_TOX5886,CCOC(=O)C1OC1c1ccccc1,0.0
Tox21_TOX5889,ONc1ccccc1,0.0
Tox21_TOX5888,O=CC(=O)c1ccccc1,0.0
Tox21_TOX21803,[Cu]I,0.0
Tox21_TOX21530,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0.0
Tox21_TOX25005,ClCc1ccc(Cl)cc1Cl,0.0
Tox21_TOX6867,O=C(O)CCCCCCCCC(=O)O,0.0
Tox21_TOX6864,CCCCCCCC(=O)OC,0.0
Tox21_TOX6863,CC(O)COCC(C)O,0.0
Tox21_TOX26644,O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12,0.0
Tox21_TOX2107,Cc1ncc[nH]1,0.0
Tox21_TOX27268,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,0.0
Tox21_TOX27264,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,0.0
Tox21_TOX27265,O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,0.0
Tox21_TOX27266,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,0.0
Tox21_TOX27267,Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1,0.0
Tox21_TOX27261,CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,0.0
Tox21_TOX27262,Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,0.0
Tox21_TOX27263,CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2,0.0
Tox21_TOX26647,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],1.0
Tox21_TOX3721,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,0.0
Tox21_TOX22379,CO[Si](C)(C)OC,0.0
Tox21_TOX20283,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0
Tox21_TOX20287,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,0.0
Tox21_TOX20285,CC(=O)c1ccccc1O,0.0
Tox21_TOX20284,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,0.0
Tox21_TOX20289,O=C(O)c1cccc(Cl)n1,0.0
Tox21_TOX1553,CCCCCCCCCC=O,0.0
Tox21_TOX4704,Cc1ccc(C(C)(C)C)cc1,0.0
Tox21_TOX1557,BrCBr,0.0
Tox21_TOX10307,Nc1cc(Cl)cc(Cl)c1,0.0
Tox21_TOX1554,CCCCCCCCCC(=O)O,0.0
Tox21_TOX1559,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,0.0
Tox21_TOX27484,O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],0.0
Tox21_TOX27487,CCCCCCCCCOS(=O)(=O)[O-],0.0
Tox21_TOX7249,O=Cc1ccc(C(=O)O)cc1,0.0
Tox21_TOX7244,CCC(Cl)CCl,0.0
Tox21_TOX7247,CC(C)(O)c1ccccc1,0.0
Tox21_TOX7246,O=C1CCCN1,0.0
Tox21_TOX7241,ClCc1ccccc1Cl,0.0
Tox21_TOX7240,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,0.0
Tox21_TOX24613,N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,0.0
Tox21_TOX24615,C=CC(=O)OCCOC(=O)C=C,0.0
Tox21_TOX24616,CCCC[P+](CCCC)(CCCC)CCCC,0.0
Tox21_TOX24617,N#CCc1cccc(C(F)(F)F)c1,0.0
Tox21_TOX24618,COc1cccc(Br)c1,0.0
Tox21_TOX24619,CCCCCCCCNC,0.0
Tox21_TOX21884,CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1,0.0
Tox21_TOX3951,CC1=C(C(=O)Nc2ccccc2)SCCO1,0.0
Tox21_TOX3950,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,0.0
Tox21_TOX21880,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,0.0
Tox21_TOX26235,Cc1ccc2c(Br)cc(Br)c(O)c2n1,0.0
Tox21_TOX768,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.0
Tox21_TOX7312,CC(O)COc1ccccc1,0.0
Tox21_TOX760,O=P1(NCCCl)OCCCN1CCCl,0.0
Tox21_TOX762,CC(C)O,0.0
Tox21_TOX764,CC(C)OC(=O)Nc1cccc(Cl)c1,0.0
Tox21_TOX766,CC(C)OC(=O)Nc1ccccc1,0.0
Tox21_TOX767,CC=Cc1ccc2c(c1)OCO2,0.0
Tox21_TOX17072,CCCC(CCC)C(=O)[O-],0.0
Tox21_TOX21085,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.0
Tox21_TOX26236,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,0.0
Tox21_TOX21080,CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,0.0
Tox21_TOX27871,CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1,0.0
Tox21_TOX27870,O=C(c1ccccc1)c1cc(Cl)ccc1O,0.0
Tox21_TOX27873,OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,0.0
Tox21_TOX27872,Cc1ccc(C=C2C(=O)C3CCC2C3(C)C)cc1,0.0
Tox21_TOX27875,CC(C)C[P+](C)(CC(C)C)CC(C)C,0.0
Tox21_TOX27874,C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CCC[C@]4(C)[C@@H]2C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1C3,0.0
Tox21_TOX27876,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.0
Tox21_TOX6265,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,0.0
Tox21_TOX6266,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,0.0
Tox21_TOX6267,Cc1cc(C)cc(OP(=O)(Oc2cc(C)cc(C)c2)Oc2cc(C)cc(C)c2)c1,0.0
Tox21_TOX6261,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,0.0
Tox21_TOX6262,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,0.0
Tox21_TOX6268,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O,0.0
Tox21_TOX5074,O=C(O)c1ccc(O)cc1O,0.0
Tox21_TOX5076,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,0.0
Tox21_TOX5070,CC1=CC(C)(C)Nc2ccccc21,0.0
Tox21_TOX5078,Cc1cc(=O)oc2cc(O)cc(O)c12,0.0
Tox21_TOX5079,CC(C)CNCC(C)C,0.0
Tox21_TOX3187,CNC1(c2ccccc2Cl)CCCCC1=O,0.0
Tox21_TOX26230,Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,0.0
Tox21_TOX2399,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,0.0
Tox21_TOX2394,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,0.0
Tox21_TOX2396,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,0.0
Tox21_TOX2391,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.0
Tox21_TOX3049,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1.0
Tox21_TOX3043,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,0.0
Tox21_TOX3042,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0.0
Tox21_TOX3041,NC(=O)OCC(COC(N)=O)c1ccccc1,0.0
Tox21_TOX3044,CCNC(C)Cc1cccc(C(F)(F)F)c1,0.0
Tox21_TOX12412,COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1,0.0
Tox21_TOX12417,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,0.0
Tox21_TOX12416,CSc1nc(NC2CC2)nc(NC(C)(C)C)n1,0.0
Tox21_TOX25254,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,1.0
Tox21_TOX25250,CCC1(C)CC(=O)NC(=O)C1,0.0
Tox21_TOX22579,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,0.0
Tox21_TOX545,NC(=S)NNC(N)=S,0.0
Tox21_TOX546,NC(=S)C(N)=S,0.0
Tox21_TOX815,CC1CN1P(=O)(N1CC1C)N1CC1C,0.0
Tox21_TOX540,O=C(Oc1ccccc1)Oc1ccccc1,0.0
Tox21_TOX813,C[Hg]Cl,0.0
Tox21_TOX810,S=c1[nH]cnc2[nH]cnc12,0.0
Tox21_TOX811,[Hg+2],0.0
Tox21_TOX548,CCCCCCCCCCCCNC(=N)N,0.0
Tox21_TOX818,CN(C)CCN(Cc1cccs1)c1ccccn1,0.0
Tox21_TOX819,COc1nn(CSP(=S)(OC)OC)c(=O)s1,0.0
Tox21_TOX26502,NC1=NCC2c3ccccc3Cc3ccccc3N12,0.0
Tox21_TOX26503,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,0.0
Tox21_TOX26500,O=C([O-])CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(Cl)c1,0.0
Tox21_TOX26501,O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,0.0
Tox21_TOX26506,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0.0
Tox21_TOX26055,COc1ccc(C=CC(=O)OCCC(C)C)cc1,0.0
Tox21_TOX26504,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,0.0
Tox21_TOX29089,CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,0.0
Tox21_TOX29086,Clc1ccc2cc3ccccc3cc2c1,0.0
Tox21_TOX29087,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.0
Tox21_TOX26508,F/C(COc1ccc2c(c1)[nH]c1ccccc12)=C1/CN2CCC1CC2,0.0
Tox21_TOX26509,CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1,0.0
Tox21_TOX29082,CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,0.0
Tox21_TOX29083,CCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0
Tox21_TOX29080,Brc1c2ccccc2cc2ccccc12,0.0
Tox21_TOX29081,CCO/C=C1\N=C(c2ccccc2)OC1=O,0.0
Tox21_TOX22612,CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl,0.0
Tox21_TOX22613,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,0.0
Tox21_TOX22614,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,0.0
Tox21_TOX22618,Cc1cc(C)cc(C(=O)OC2C[C@@H]3CC[C@H](C2)N3C)c1,0.0
Tox21_TOX29331,CC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,0.0
Tox21_TOX14818,COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,0.0
Tox21_TOX14816,CNC(=O)/C=C(\C)OP(=O)(OC)OC,0.0
Tox21_TOX27673,Cc1occc1SSc1ccoc1C,0.0
Tox21_TOX27672,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O,0.0
Tox21_TOX27670,CC=CC(=O)CC,0.0
Tox21_TOX27677,CC1OCCC1=O,0.0
Tox21_TOX27675,CC1CCCC(=O)C1=O,0.0
Tox21_TOX27674,CC1=C(O)C(=O)OC1C,0.0
Tox21_TOX27679,CCCCCc1ccco1,0.0
Tox21_TOX27678,c1cnc2c(n1)CCCC2,0.0
Tox21_TOX21703,CCCCc1ccc2cccc(S(=O)(=O)[O-])c2c1,0.0
Tox21_TOX21709,Cc1cc(S(=O)(=O)[O-])ccc1/N=N/c1c(O)ccc2ccccc12,0.0
Tox21_TOX21708,Cc1ccc(N=Nc2c(O)ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)c2O)c(C)c1,0.0
Tox21_TOX117,Nc1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0.0
Tox21_TOX7608,CCNc1nc(Cl)nc(NC(C)(C)C)n1,0.0
Tox21_TOX2800,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,0.0
Tox21_TOX2801,Oc1c(Cl)cc(Cl)c2cccnc12,0.0
Tox21_TOX2803,NC(=O)OCC(O)COc1ccc(Cl)cc1,0.0
Tox21_TOX2808,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0.0
Tox21_TOX29085,CCCCCCCCCCCCCCn1cc[n+](C)c1,0.0
Tox21_TOX5948,O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-],0.0
Tox21_TOX9710,O=P(Cl)(Cl)Cl,0.0
Tox21_TOX671,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1,0.0
Tox21_TOX6074,CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,0.0
